Kovats.on.DB5,Compound.Name,Source,Data.From
944,5-methyl-3-heptanone,Adams Essential Oil Components,experiment
945,methyl-p-xylene,Flavornet,estimate
946,butyl isothiocyanate,Flavornet,experiment
947,5-Norbornen-2-ol,Adams Essential Oil Components,experiment
947,3-methyl-valeric acid,Adams Essential Oil Components,experiment
950,2-pentanol,Flavornet,estimate
950,Camphene,VOCbinbase,experiment
950,β-Citronellene,Adams Essential Oil Components,experiment
951,2-hepten-1-al,Flavornet,experiment
952,3-methyl cyclohexanone,Adams Essential Oil Components,experiment
952,4-methyl pent-2-enolide,Adams Essential Oil Components,experiment
953,camphene,Lucero 2009,experiment
953,camphene,Flavornet,experiment
953,α-fenchene,Adams Essential Oil Components,experiment
954,camphene,Lucero 2009,experiment
954,camphene,Lucero 2009,experiment
954,carnphene,Lucero 2009,experiment
954,camphene,Adams Essential Oil Components,experiment
955,camphene,Lucero 2009,experiment
955,camphene,Lucero 2009,experiment
956,benzaldehyde,VOCbinbase,experiment
957,camphene,Lucero 2009,experiment
957,heptenal,Flavornet,experiment
958,"Thuja-2,4(10)-diene",Lucero 2009,experiment
958,2-ethoxy thiazole,Adams Essential Oil Components,experiment
960,benzaldehyde,Flavornet,experiment
960,"thuja-2,4(10)diene",Lucero 2009,experiment
960,Benzaldehyde,Adams Essential Oil Components,experiment
960,"thuja-2,4(10)-diene",Adams Essential Oil Components,experiment
962,heptanol,Flavornet,estimate
962,cyclohexyl formate,Adams Essential Oil Components,experiment
963.8024691358,benzaldehyde,marie standards,experiment
964,5-methyl furfural,Adams Essential Oil Components,experiment
965,octanone,Flavornet,experiment
965,6-methyl-heptan-2-ol,Adams Essential Oil Components,experiment
967,3-Thiophenethiol,Flavornet,experiment
967,n-heptanol,Adams Essential Oil Components,experiment
967,Z-4-hepten-1-ol,Adams Essential Oil Components,experiment
968,1-Octen-3-ol,VOCbinbase,experiment
968,"2,5-Dimethyl-3-furanthiol",Flavornet,experiment
968,ethyl isohexanoate,Flavornet,estimate
968,verbenene,Adams Essential Oil Components,experiment
969,4-methylthio-2-butanone,Flavornet,estimate
970,(1S)-4-methylene-1-(1-methylethyl)bicyclo[3.1.0]hexane,VOCbinbase,experiment
970,n-heptanol,Lucero 2009,experiment
972,hexanoic acid,VOCbinbase,experiment
972,5-Methyl-(E)-2-hepten-4-one,Flavornet,experiment
972,3-Mercapto-3-methylbutanol,Flavornet,experiment
972,sabinene,Flavornet,experiment
973,"2-Penten-1-ol, (E)-",Flavornet,estimate
974,"5-Hepten-2-one, 6-methyl-",VOCbinbase,experiment
974,dimethyl trisulfide,Flavornet,experiment
974,"5-Hepten-2-one, 6-methyl-",Flavornet,experiment
974,2-methoxy-3-methyl-pyrazine,Adams Essential Oil Components,experiment
974.3209876543,sabinene,marie standards,experiment
975,trans-pinane,Adams Essential Oil Components,experiment
975,sabinene,Adams Essential Oil Components,experiment
976,1-Octen-3-one,Flavornet,experiment
976,sabinene,Lucero 2009,experiment
976,sabinene,Lucero 2009,experiment
976,isopropyl tiglate,Adams Essential Oil Components,experiment
976,exo-2-norborneol,Adams Essential Oil Components,experiment
977,sabinene,Lucero 2009,experiment
977,Artemiseole,Adams Essential Oil Components,experiment
978,5-methylfurfural,Flavornet,experiment
978,2-Octanone,VOCbinbase,experiment
978,β-Myrcene,VOCbinbase,experiment
978,methionol,Flavornet,experiment
978,sabinene,Lucero 2009,experiment
979,β-Pinene,Lucero 2009,experiment
979,trans-p-menthane,Adams Essential Oil Components,experiment
979,1-octen-3-ol,Adams Essential Oil Components,experiment
979,beta-pinene,Adams Essential Oil Components,experiment
979.6049382716,β-Pinene,marie standards,experiment
980,β-Pinene,Lucero 2009,experiment
980,β-Pinene,Lucero 2009,experiment
980,phenol,Flavornet,experiment
981,6-methyl-5-hepten-2-one,Lucero 2009,experiment
981,"Furan, 2-pentyl-",VOCbinbase,experiment
981,β-Pinene,Lucero 2009,experiment
981,β-Pinene,Lucero 2009,experiment
981,β-Pinene,Lucero 2009,experiment
981,β-Pinene,Flavornet,experiment
981,1-Octen-3-one,Flavornet,experiment
981.243987882,1-Octen-3-ol,Lucero 2009,experiment
982,β-Pinene,Lucero 2009,experiment
982,1-Octen-3-ol,Flavornet,experiment
983,Z-Herboxide (dehydroxylinalool oxide),VOCbinbase,experiment
983,6-methyl-5-hepten-2-one,Lucero 2009,experiment
983,"(Z)-1,5-octadien-3-one",Flavornet,experiment
984,2-Octanol,Flavornet,experiment
984,Benzonitrile,VOCbinbase,experiment
984,"trans-m-mentha-2,8-diene",Adams Essential Oil Components,experiment
984,3-octanone,Adams Essential Oil Components,experiment
985,6-methyl-5-hepten-2-one,Lucero 2009,experiment
985,"Hexanoic acid, ethyl ester",VOCbinbase,experiment
985,trans-isolimonene,Adams Essential Oil Components,experiment
986,6-methyl-5-hepten-2-one,Lucero 2009,experiment
986,6-methyl-5-heptene-2-one,Lucero 2009,experiment
986,"   3-octanol,      octan-3-ol",VOCbinbase,experiment
986,6-methyl-5-hepten-2-one,Adams Essential Oil Components,experiment
986,endo-2-Norborneol,Adams Essential Oil Components,experiment
986,cis-pinane,Adams Essential Oil Components,experiment
987,6-methyl-5-hepten-2-one,Lucero 2009,experiment
987,6-methyl-5-hepten-2-one,Lucero 2009,experiment
987,Decane,VOCbinbase,experiment
987,"cis-m-mentha-2,8-diene",Adams Essential Oil Components,experiment
987,methyl 2-hydroxy-4-methylpentanoate,Adams Essential Oil Components,experiment
988,"1,5-octadien-3-ol",Flavornet,experiment
988,"1,5-octadienone",Flavornet,experiment
988,3-p-menthene,Adams Essential Oil Components,experiment
988.7901234568,β-Myrcene,marie standards,experiment
990,2-octanol,VOCbinbase,experiment
990,1-decene,Adams Essential Oil Components,experiment
991,"3-Hexen-1-ol, acetate, (E)-",VOCbinbase,experiment
991,"dehydro-1,8-cineole",Lucero 2009,experiment
991,myrcene,Lucero 2009,experiment
991,myrcene,Lucero 2009,experiment
991,rnyrcene,Lucero 2009,experiment
991,"dehydro-1,8-cineole",Adams Essential Oil Components,experiment
991,myrcene,Adams Essential Oil Components,experiment
991,3-octanol,Adams Essential Oil Components,experiment
991,2-octanone,Adams Essential Oil Components,experiment
992,"2,3-dehydro-1,8-cineole",Flavornet,estimate
992,myrcene,Lucero 2009,experiment
992,myrcene,Lucero 2009,experiment
992,myrcene,Flavornet,experiment
992,myrcene ,Lucero 2009,experiment
992,myrcene ,Lucero 2009,experiment
992,myrcrene,Lucero 2009,experiment
992,"2-Heptanol, 2,6-dimethyl-",Adams Essential Oil Components,experiment
992,6-methyl-5-hepten-2-ol,Adams Essential Oil Components,experiment
992,Methyl 2-hydroxy-3-methylpentanoate,Adams Essential Oil Components,experiment
993,"Pyrazine, 2-ethyl-5-methyl-",Flavornet,estimate
993,myrcene,Lucero 2009,experiment
993,"Furan, 2-pentyl-",Flavornet,experiment
993,trans-Anhydrolinalool oxide,Adams Essential Oil Components,experiment
994,6-methyl-5-hepten-2-ol,Lucero 2009,experiment
995,2-formylthiophene,Flavornet,experiment
995,Octanal,VOCbinbase,experiment
995,trimethylthiazole,Flavornet,experiment
995,butyl butanoate,Adams Essential Oil Components,experiment
995,2-octanol,Adams Essential Oil Components,experiment
996,mesitylene,Adams Essential Oil Components,experiment
996,"2,4,5-trimethyl thiazole",Adams Essential Oil Components,experiment
997,"Acetic acid, hexyl ester",VOCbinbase,experiment
997,yomogi alcohol,Lucero 2009,experiment
998,"3(2H)-Thiophenone, dihydro-2-methyl-",Flavornet,experiment
998,ethyl hexanoate,Adams Essential Oil Components,experiment
999,cis-Anhydrolinalool oxide,VOCbinbase,experiment
999,"2-Methyl-1,3-dithiacyclopentane",Flavornet,estimate
999,octanone,Flavornet,experiment
999,furfuryl methyl sulfide,Adams Essential Oil Components,experiment
999,n-octanal,Adams Essential Oil Components,experiment
999,yomogi alcohol,Adams Essential Oil Components,experiment
1000,"2,4-heptadienal",Flavornet,experiment
1000,decane,Flavornet,experiment
1000,methyl hexanoate,Flavornet,experiment
1000,trimethyl-pyrazine,Flavornet,experiment
1000,n-decane,Adams Essential Oil Components,experiment
1000,"Pyrazine, trimethyl-",Adams Essential Oil Components,experiment
1001,2-methyl anisole,Flavornet,experiment
1001,n-octanal,Lucero 2009,experiment
1001,"m-mentha-1(7),8-diene",Adams Essential Oil Components,experiment
1002,ethyl hexanoate,Flavornet,experiment
1002,(+)-δ-2-carene,Adams Essential Oil Components,experiment
1002,E-3-hexenyl acetate,Adams Essential Oil Components,experiment
1003,α-Phellandrene,Adams Essential Oil Components,experiment
1003,2-ethyl-3-methyl-pyrazine,Adams Essential Oil Components,experiment
1004,α-Phellandrene,Lucero 2009,experiment
1004,α-Phellandrene,Lucero 2009,experiment
1004,α-Phellandrene,Lucero 2009,experiment
1004,"7,7-dimethyl-3-methylenebicyclo[4.1.0]heptane",Flavornet,experiment
1004,"p-mentha-1(7),8-diene",Adams Essential Oil Components,experiment
1005,Z-3-hexenyl acetate,Adams Essential Oil Components,experiment
1006,α-Phellandrene,Flavornet,experiment
1006,α-Phellandrene,Lucero 2009,experiment
1006,α-Phellandrene,Lucero 2009,experiment
1006,α-Phellandrene,Lucero 2009,experiment
1006,"2,4-Heptadienal, (E,E)-",VOCbinbase,experiment
1006,octanal,Flavornet,experiment
1007,"Benzene, 1,2-dichloro-",VOCbinbase,experiment
1007,3-Carene,VOCbinbase,experiment
1007,α-Phellandrene,Lucero 2009,experiment
1007,α-Phellandrene,Flavornet,experiment
1007,pentyl propanoate,Adams Essential Oil Components,experiment
1007.2876712329,α-Phellandrene,marie standards,experiment
1008,cis-Dehydroxy linalool oxide,Adams Essential Oil Components,experiment
1009,hexenyl acetate,Flavornet,experiment
1009,3-Carene,Flavornet,experiment
1009,hexyl acetate,Adams Essential Oil Components,experiment
1009,iso-sylvestrene,Adams Essential Oil Components,experiment
1010,ethyl lactate,Flavornet,estimate
1010.1369863014,3-carene,marie standards,experiment
1011,"2,4-heptadienal",Flavornet,experiment
1011,3-Carene,Lucero 2009,experiment
1011,3-Carene,Lucero 2009,experiment
1011,3-Carene,Lucero 2009,experiment
1012,acetylpyridine,Flavornet,estimate
1012,3-Carene,Lucero 2009,experiment
1012,α-Terpinene,Flavornet,experiment
1013,3-Carene,Lucero 2009,experiment
1013,3-Carene,Lucero 2009,experiment
1014,"2,3,4,5-tetrahydroanisole",Flavornet,experiment
1014,hexyl acetate,Flavornet,experiment
1014,3-Carene,Lucero 2009,experiment
1014,"1,4-dichlorobenzene",Adams Essential Oil Components,experiment
1015,"Pentanenitrile, 5-(methylthio)-",Flavornet,experiment
1015,"1,4-cineole",Adams Essential Oil Components,experiment
1016,"2-Furanmethanethiol, 5-methyl-",Flavornet,experiment
1017,α-Terpinene,Lucero 2009,experiment
1017,α-Terpinene,Lucero 2009,experiment
1017,α-Terpinene,Adams Essential Oil Components,experiment
1018,"1,4-cineole",Flavornet,estimate
1018,α-Terpinene,Lucero 2009,experiment
1018,beta-cubebene,Flavornet,experiment
1018,2-acetyl thiazole,Adams Essential Oil Components,experiment
1019,caproic acid,Flavornet,experiment
1019,α-Terpinene,Lucero 2009,experiment
1019,α-Terpinene,Lucero 2009,experiment
1019,p-methyl anisole,Adams Essential Oil Components,experiment
1020,"1-Hexanol, 2-ethyl-",VOCbinbase,experiment
1020,acetylthiazole,Flavornet,experiment
1020,α-Terpinene,Lucero 2009,experiment
1021,p-methylanisole,Lucero 2009,experiment
1021,"p-cresol, methyl ether ",Adams Essential Oil Components,experiment
1021,2-acetyl-pyrazine,Adams Essential Oil Components,experiment
1022,o-Cymene,VOCbinbase,experiment
1023,acetylpyrazine,Flavornet,experiment
1023,mercaptomethylbutyl formate,Flavornet,experiment
1024,propionylpyrroline,Flavornet,experiment
1024,p-Cymene,Lucero 2009,experiment
1025,Limonene,VOCbinbase,experiment
1025,p-Cymene,Lucero 2009,experiment
1025,p-Cymene,Lucero 2009,experiment
1025,p-Cymene,Lucero 2009,experiment
1025,p-cymene,Adams Essential Oil Components,experiment
1026,2-Propionylpyrrole,Flavornet,experiment
1026,allyl tiglate,Adams Essential Oil Components,experiment
1026,o-cymene,Adams Essential Oil Components,experiment
1026,1-p-menthene,Adams Essential Oil Components,experiment
1026,methyl heptanoate,Adams Essential Oil Components,experiment
1026,"1,2,4-trimethyl benzene",Adams Essential Oil Components,experiment
1027,o-cymene,Lucero 2009,experiment
1027,p-Cymene,Flavornet,experiment
1027,p-Cymene,Lucero 2009,experiment
1027,p-Cymene,Lucero 2009,experiment
1027,p-Cymene,Lucero 2009,experiment
1028,p-Cymene,Lucero 2009,experiment
1029,limonene,Adams Essential Oil Components,experiment
1030,(+)-limonene,Flavornet,experiment
1030,"1,8-cineole",Flavornet,experiment
1030,limonene,Lucero 2009,experiment
1030,β-Phellandrene,Adams Essential Oil Components,experiment
1030.6301369863,R-limonene,marie standards,experiment
1031,β-Phellandrene,Lucero 2009,experiment
1031,limonene,Lucero 2009,experiment
1031,limonene,Lucero 2009,experiment
1031,3-Carene,Adams Essential Oil Components,experiment
1031,"1,8-cineole",Adams Essential Oil Components,experiment
1031,sylvestrene,Adams Essential Oil Components,experiment
1032,2-ethylhexanol,Flavornet,experiment
1032,phenylmethanol,VOCbinbase,experiment
1032,β-Phellandrene,Lucero 2009,experiment
1032,limonene,Lucero 2009,experiment
1032,limonene,Lucero 2009,experiment
1032,benzyl alcohol,Adams Essential Oil Components,experiment
1033,"1,8-cineole",Lucero 2009,experiment
1033,"1,8-cineole ",Lucero 2009,experiment
1033,"2,2,4-trimethyl-3-oxabicyclo[2.2.2]octane",VOCbinbase,experiment
1033,limonene,Lucero 2009,experiment
1033,limonene,Lucero 2009,experiment
